Date;Moscow;Kaliningrad;Petersburg;Krasnodar;Ekaterinburg
20130101;79.72;42.67;62.55;48.26;71.25
20130201;81.08;44.37;62.73;51.01;71.35
20130301;79.68;44.73;63.43;50.91;70.9
20130401;79.8;46.75;63.83;53.94;71.92
20130501;80.63;71.85;66.06;61.27;72.91
20130601;80.8;51.59;69.22;65.44;74.39
20130701;80.28;57.8;72.07;56.51;73.1
20130801;78.99;62.14;69.31;53.00;70.24
20130901;76.77;56.76;65.18;43.87;69.12
20131001;76.09;50.85;62.13;42.12;68.98
20131101;76.36;46.43;64.17;43.98;68.58
20131201;77.16;46.73;65.5;44.66;69.5
20140101;77.5;45.85;66.85;47.73;70.14
20140201;79.03;49.25;68.38;52.31;70.58
20140301;80.28;48.14;68.77;56.8;70.78
20140401;80.05;49.18;69.32;51.15;72.78
20140501;78.11;49.49;69.77;54.63;72.84
20140601;76.9;49.83;70.17;55.8;74.74
20140701;77.68;49.14;70.76;57.31;76.43
20140801;76.05;63.21;75.16;53.81;81.2
20140901;75.53;61.2;74.86;55.5;82.04
20141001;73.39;60.34;71.47;52.95;79.67
20141101;78.36;62.2;76.08;53.29;81.25
20141201;89.16;74.2;82.11;54.86;85.88
20150101;105.43;75.32;94.63;71.72;91.35
20150201;104.82;75.92;98.54;74.36;101.32
20150301;101.15;72.89;97.84;78.25;102.45
20150401;98.63;74.85;94.54;70.63;98.18
20150501;99.96;92.19;97.88;77.06;105.1
20150601;97.29;99.7;97.73;81.52;104.85
20150701;98.64;102.78;100.89;84.12;111.48
20150801;104.26;92.67;104.88;83.33;118.51
20150901;102.63;90.63;104.39;66.98;118.92
20151001;98.64;83.31;101.9;62.04;109.87
20151101;97.17;75.5;98.99;59.79;105.22
20151201;98.09;74.6;99.42;66.06;105.45
20160101;103.07;76.94;106.37;71.99;115.61
20160201;110.26;83.04;113.89;76.79;116.61
20160301;110.84;80.74;114.78;80.98;120.39
20160401;112.28;80.29;115.6;89.18;119.2
20160501;111.1;82.82;115.89;92.71;119.92
20160601;110.06;86.29;117.66;94.85;120.57
20160701;113.7;87.41;118.27;99.18;123.37
20160801;112.88;85.1;114.19;86.33;121.39
20160901;102.08;78.08;101.81;71.94;118.16
20161001;95.54;76.06;91.62;67.18;108.84
20161101;91.33;69.23;90.15;62.98;100.78
20161201;89.99;69.04;90.55;69.45;99.92
20170101;91.44;64.48;92.3;67.56;100.65
20170201;93.51;65.73;91.75;67.92;98.92
20170301;93.6;67.2;92.00;68.4;100.31
20170401;93.78;70.25;92.57;67.97;96.41
20170501;98.91;82.59;100.28;76.33;101.24
20170601;121.76;92.12;114.33;95.79;118.7
20170701;129.6;100.82;122.17;112.36;133.29
20170801;127.9;95.23;117.83;82.03;130.31
20170901;114.55;89.51;112.49;73.83;122.4
20171001;101.88;82.84;93.7;66.12;104.98
20171101;99.09;82.3;97.17;63.24;107.54
20171201;103.35;83.76;95.64;63.98;110.74
20180101;106.58;84.72;102.21;69.1;110.51
20180201;108.00;83.91;107.58;70.04;111.46
20180301;114.95;99.14;110.48;80.03;113.42
20180401;121.17;101.6;117.73;87.92;118.15
20180501;122.48;113.03;122.07;97.07;114.00
20180601;127.58;119.54;128.58;106.52;124.91
20180701;131.89;118.09;131.12;108.93;126.06
20180801;129.36;107.32;127.08;95.17;123.3
20180901;104.26;82.6;110.99;74.31;111.61
20181001;93.45;77.4;97.43;62.63;98.82
20181101;92.93;71.77;92.05;69.92;97.47
20181201;96.15;71.25;93.21;70.58;103.01
20190101;99.1;71.35;98.58;74.63;109.36
20190201;103.00;73.62;100.23;78.69;104.79
20190301;103.31;76.2;102.09;81.82;105.09
20190401;103.01;74.15;101.73;82.36;103.16
20190501;107.37;75.67;107.28;89.44;106.52
20190601;116.91;79.2;115.35;102.01;121.68
20190701;125.29;80.85;123.03;116.12;125.32
20190801;123.94;85.33;123.08;92.06;123.41
20190901;113.03;75.02;109.71;82.7;108.48
20191001;102.19;77.95;97.22;66.62;98.73
20191101;97.83;78.98;95.75;68.11;96.25
20191201;101.07;76.55;97.09;73.48;100.12
20200101;103.44;74.89;98.18;82.04;101.29
20200201;108.23;70.00;103.1;81.19;102.81
20200301;110.28;81.53;110.6;95.05;108.53
